(2 5)        const           "const"
(2 7)        (               "("
(3 3)        IDENT           "c1"
(3 5)        =               "="
(3 7)        INT             "11"
(4 3)        IDENT           "c2"
(4 5)        =               "="
(4 7)        FLOAT           "10.2"
(5 3)        IDENT           "c3"
(5 5)        =               "="
(5 7)        FLOAT           "0.10"
(6 3)        IDENT           "c4"
(6 5)        =               "="
(6 7)        FLOAT           "10.4"
(7 1)        )               ")"
(9 4)        func            "func"
(9 9)        IDENT           "main"
(9 10)       (               "("
(9 11)       )               ")"
(9 13)       {               "{"
(10 7)       var             "var"
(10 10)      IDENT           "s1"
(10 17)      IDENT           "string"
(10 19)      =               "="
(10 21)      STRING          "\"hello\""
(11 7)       var             "var"
(11 9)       IDENT           "x"
(11 13)      IDENT           "int"
(11 15)      =               "="
(11 17)      INT             "0"
(13 7)       var             "var"
(13 10)      IDENT           "s2"
(13 17)      IDENT           "string"
(13 19)      =               "="
(13 21)      STRING          "\"he\""
(14 5)       IDENT           "x"
(14 7)       *=              "*="
(14 10)      INT             "2"
(14 12)      *               "*"
(14 14)      IDENT           "x"
(15 1)       }               "}"
